product_id,edr_volume,edr_subdir,edr_doy,edr_product,cdr_volume,cdr_subdir,cdr_doy,cdr_product,orbit_number,start_time,stop_time,start_frame,center_frame_index,n_frames_for_square_crop,sun_elevation_deg,incidence_angle_deg,center_lat_deg,center_lon_deg
M1327267603CE,LROLRC_0041B,ESM4,2019305,M1327267603CE,LROLRC_1041B,ESM4,2019305,M1327266901CC,46633,2019-11-01 17:12:15.173000+00:00,2019-11-01 17:18:31.173000+00:00,92.5,128.0,71,15.694779370678773,74.31,71.0518,168.5922
M1327271840CE,LROLRC_0041B,ESM4,2019305,M1327271840CE,LROLRC_1041B,ESM4,2019305,M1327271447CC,46633,2019-11-01 18:22:52.579000+00:00,2019-11-01 18:30:33.267000+00:00,240.0,273.0,66,19.82791630426135,70.17,-67.1744,148.1616
M1327272305CE,LROLRC_0041B,ESM4,2019305,M1327272305CE,LROLRC_1041B,ESM4,2019305,M1327271840CC,46633,2019-11-01 18:30:37.568000+00:00,2019-11-01 18:35:54.537000+00:00,128.0,161.0,66,36.62034477756863,53.38,-46.8582,153.0939
M1327272626CE,LROLRC_0041B,ESM4,2019305,M1327272626CE,LROLRC_1041B,ESM4,2019305,M1327271840CC,46633,2019-11-01 18:35:58.839000+00:00,2019-11-01 18:44:15.902000+00:00,204.0,241.0,74,51.53592041875613,38.47,-25.8251,155.1209
M1327273128CE,LROLRC_0041B,ESM4,2019305,M1327273128CE,LROLRC_1041B,ESM4,2019305,M1327272626CC,46633,2019-11-01 18:44:20.205000+00:00,2019-11-01 18:59:21.299000+00:00,327.0,365.0,76,58.588946489484556,31.42,9.4966,157.3436
M1327274033CE,LROLRC_0041B,ESM4,2019305,M1327274033CE,LROLRC_1041B,ESM4,2019305,M1327274033CC,46634,2019-11-01 18:59:25.606000+00:00,2019-11-01 19:05:08.544000+00:00,82.5,118.0,71,40.78402844106092,49.22,40.5817,159.9445
M1327274380CE,LROLRC_0041B,ESM4,2019305,M1327274380CE,LROLRC_1041B,ESM4,2019305,M1327274033CC,46634,2019-11-01 19:05:12.850000+00:00,2019-11-01 19:10:27.163000+00:00,71.0,107.0,72,27.76184830196724,62.24,56.9102,162.4074
M1327274699CE,LROLRC_0041B,ESM4,2019305,M1327274699CE,LROLRC_1041B,ESM4,2019305,M1327274033CC,46634,2019-11-01 19:10:31.470000+00:00,2019-11-01 19:15:04.470000+00:00,56.5,91.0,69,15.396568078070871,74.6,71.4069,167.7288
M1327278856CE,LROLRC_0041B,ESM4,2019305,M1327278856CE,LROLRC_1041B,ESM4,2019305,M1327278505CC,46634,2019-11-01 20:19:48.768000+00:00,2019-11-01 20:27:30.268000+00:00,250.0,284.0,68,18.930949004663916,71.07,-68.235,146.575
M1327279322CE,LROLRC_0041B,ESM4,2019305,M1327279322CE,LROLRC_1041B,ESM4,2019305,M1327278856CC,46634,2019-11-01 20:27:34.569000+00:00,2019-11-01 20:32:50.382000+00:00,129.5,163.0,67,35.814191225264196,54.19,-47.923,151.8538
M1327279642CE,LROLRC_0041B,ESM4,2019305,M1327279642CE,LROLRC_1041B,ESM4,2019305,M1327278856CC,46634,2019-11-01 20:32:54.684000+00:00,2019-11-01 20:40:38.747000+00:00,188.5,225.0,73,50.418628488850494,39.59,-27.7406,153.9001
M1327280110CE,LROLRC_0041B,ESM4,2019305,M1327280110CE,LROLRC_1041B,ESM4,2019305,M1327279642CC,46634,2019-11-01 20:40:43.050000+00:00,2019-11-01 20:55:43.176000+00:00,340.0,379.0,78,59.36473064710123,30.64,6.7611,156.086
M1327281015CE,LROLRC_0041B,ESM4,2019305,M1327281015CE,LROLRC_1041B,ESM4,2019305,M1327281015CC,46635,2019-11-01 20:55:47.484000+00:00,2019-11-01 21:01:44.952000+00:00,87.5,123.0,71,42.59448859262636,47.41,38.2193,158.6186
M1327281377CE,LROLRC_0041B,ESM4,2019305,M1327281377CE,LROLRC_1041B,ESM4,2019305,M1327281015CC,46635,2019-11-01 21:01:49.259000+00:00,2019-11-01 21:07:09.446000+00:00,73.0,109.0,72,29.327034822075305,60.68,55.0537,160.9596
M1327281701CE,LROLRC_0041B,ESM4,2019305,M1327281701CE,LROLRC_1041B,ESM4,2019305,M1327281015CC,46635,2019-11-01 21:07:13.754000+00:00,2019-11-01 21:12:43.754000+00:00,75.0,110.0,70,15.687034817325198,74.31,71.0921,166.4966
M1327285934CE,LROLRC_0041B,ESM4,2019305,M1327285934CE,LROLRC_1041B,ESM4,2019305,M1327285503CC,46635,2019-11-01 22:17:46.791000+00:00,2019-11-01 22:24:26.728000+00:00,204.0,237.0,66,19.394228472172557,70.61,-67.7085,145.7721
M1327286338CE,LROLRC_0041B,ESM4,2019305,M1327286338CE,LROLRC_1041B,ESM4,2019305,M1327285934CC,46635,2019-11-01 22:24:31.030000+00:00,2019-11-01 22:29:47.467000+00:00,132.5,166.0,67,35.01046040042639,54.99,-48.9727,150.6141
M1327286659CE,LROLRC_0041B,ESM4,2019305,M1327286659CE,LROLRC_1041B,ESM4,2019305,M1327285934CC,46635,2019-11-01 22:29:51.770000+00:00,2019-11-01 22:37:08.832000+00:00,184.5,222.0,75,49.3829809931015,40.62,-29.4461,152.6852
M1327287101CE,LROLRC_0041B,ESM4,2019305,M1327287101CE,LROLRC_1041B,ESM4,2019305,M1327286659CC,46635,2019-11-01 22:37:13.152000+00:00,2019-11-01 22:52:10.808000+00:00,344.0,383.0,78,59.88626023937082,30.12,4.3407,154.8566
M1327288003CE,LROLRC_0041B,ESM4,2019305,M1327288003CE,LROLRC_1041B,ESM4,2019305,M1327288003CC,46636,2019-11-01 22:52:15.152000+00:00,2019-11-01 22:58:23.152000+00:00,92.0,128.0,72,44.234930831680984,45.77,36.0322,157.3344
M1327288375CE,LROLRC_0041B,ESM4,2019305,M1327288375CE,LROLRC_1041B,ESM4,2019305,M1327288003CC,46636,2019-11-01 22:58:27.407000+00:00,2019-11-01 23:03:56.407000+00:00,76.0,112.0,72,30.755503685333203,59.25,53.3468,159.5856
M1327288708CE,LROLRC_0041B,ESM4,2019305,M1327288708CE,LROLRC_1041B,ESM4,2019305,M1327288003CC,46636,2019-11-01 23:04:00.714000+00:00,2019-11-01 23:10:23.683000+00:00,94.0,129.0,70,15.866035042438028,74.14,70.9007,165.3437
M1327292971CE,LROLRC_0041B,ESM4,2019306,M1327292971CE,LROLRC_1041B,ESM4,2019306,M1327292540CC,46636,2019-11-02 00:15:03.961000+00:00,2019-11-02 00:22:22.711000+00:00,227.0,260.0,66,20.268884137692424,69.73,-66.7155,145.0769
M1327293414CE,LROLRC_0041B,ESM4,2019306,M1327293414CE,LROLRC_1041B,ESM4,2019306,M1327292971CC,46636,2019-11-02 00:22:27.016000+00:00,2019-11-02 00:27:43.454000+00:00,132.0,166.0,68,36.628572244021456,53.37,-46.9781,149.8148
M1327293735CE,LROLRC_0041B,ESM4,2019306,M1327293735CE,LROLRC_1041B,ESM4,2019306,M1327292971CC,46636,2019-11-02 00:27:47.758000+00:00,2019-11-02 00:36:07.133000+00:00,199.0,235.0,72,51.66949859900522,38.33,-25.9,151.8709
M1327294239CE,LROLRC_0041B,ESM4,2019306,M1327294239CE,LROLRC_1041B,ESM4,2019306,M1327293735CC,46636,2019-11-02 00:36:11.438000+00:00,2019-11-02 00:51:11.376000+00:00,335.0,374.0,78,58.835776485455156,31.17,9.4416,154.1177
